Nome,Site,Concelho,Distrito
GRUMAPA– Grupo Mangualdense de Apoio e Protecção de Animais,http://www.grumapa.com/,Mangualde,Viseu
SOS Nelas – Associação de Animais em Risco,http://www.facebook.com/sos.animaisdenelas/info/,Nelas,Viseu
ANA-SCD: Associação da Natureza e Animais Abandonados,https://www.facebook.com/anaa.scd/about,Santa Comba Dão,Viseu
"Associação dos Amigos dos Animais de
Tarouca",http://associacaoamigosanimaistarouca.blogspot.com/,Tarouca,Viseu
Associação Amigos do Pêlo,http://www.facebook.com/pages/Amigos-do-Pelo/662020867252713?sk=info,Vila Nova de Paiva,Viseu
Cantinho dos Animais Abandonados de Viseu,http://www.alexandra-guerra.com/cantinho/,Viseu,Viseu
Associação Amigos dos Animais da Ilha Terceira,http://amigosanimaisterceira.blogspot.pt/,Angra do Heroísmo,Açores
Amigo Animal – Associação de Defesa dos Animais da Ilha de São Jorge,http://www.facebook.com/pages/Amigo-Animal/150670774968009?sk=info,Calheta,Açores
AFAMA– Associação Faialense dos Amigos dos Animais,http://www.afamafaial.org/,Horta,Açores
Associação Cantinho dos Animais dos Açores,http://associacaocantinhoanimaisacores.blogspot.pt/,Lagoa,Açores
APA – Associação Açoriana de Protecção dos Animais,http://www.apacores.com/,Ponta Delgada,Açores
Sociedade Micaelense Protectora dos Animais,N/A,Ponta Delgada,Açores
Associação Amigos dos Animais da Ilha Graciosa,http://www.aaaig.org/,Santa Cruz da Graciosa,Açores
AMAIS – Associação Madeira Animais,https://www.facebook.com/canilvascogil,Funchal,Região Autónoma da Madeira
Associação O Nosso Refúgio,http://www.facebook.com/nossorefugio/info,Funchal,Região Autónoma da Madeira
Sociedade Protectora dos Animais Domésticos do Funchal,http://spad-funchal.blogspot.pt/,Funchal,Região Autónoma da Madeira
AAMA– Associação Amigos dos Animais do Porto Santo,http://aama-portosanto.blogs.sapo.pt/,Porto Santo,Região Autónoma da Madeira
Associação AMAW – Madeira Animal Welfare,http://www.facebook.com/AssociacaoMadeiraAnimalWelfare/info,Santa Cruz,Região Autónoma da Madeira
Associação ANIMAD,http://www.facebook.com/animad.madeira.oficial/info,Santa Cruz,Região Autónoma da Madeira
AssociaçãoPATA– Porque os Animais Também se Amam,http://associacaopata.blogspot.com/,Santa Cruz,Região Autónoma da Madeira
