DENOMINAÇÃO,MORADA,CONCELHO,DISTRITO,FORMA JURÍDICA,ANO REGISTO,NIPC
Centro de Dia de São Bartolomeu,Aldeia do Bispo,Penamacor,"Castelo
Branco",Associação,1982,501596496
Centro de Dia de São Domingos,Meimoa,Penamacor,"Castelo
Branco",Associação,1995,503121398
Centro Paroquial de Nossa Senhora da Quebrada,Benquerença,Penamacor,"Castelo
Branco","Centro Social
Paroquial",1983,503398020
Centro Social Paroquial da Aldeia de João Pires,Aldeia Joao Pires,Penamacor,"Castelo
Branco","Centro Social
Paroquial",1984,501547118
Instituto Social Cristão Pina Ferraz,Penamacor,Penamacor,"Castelo
Branco","Instituto de
Organização
Religiosa",1986,500904740
Lar Residencial Dona Bárbara Tavares da Silva,"Av.ª Das Tílias, S/N",Penamacor,"Castelo
Branco",Associação,1981,501096787
Liga dos Amigos de Aranhas,Aranhas,Penamacor,"Castelo
Branco",Associação,1985,501237216
Santa Casa da Misericórdia de Penamacor,Penamacor,Penamacor,"Castelo
Branco",Misericórdia,1983,500875740
"XARA - Associação de Solidariedade Social e Desenvolvimento Local de
Meimão","Rua da Escola, 6",Penamacor,"Castelo
Branco",Associação,2009,508939151
L.A.P.S.P. Liga dos Amigos de Pedrógão de São Pedro - Associação,Pedrógão de São Pedro,Penamacor,"Castelo
Branco",Associação,2011,509425321
PÓVOASOL - CSS - Centro de Solidariedade Social,Quinta do Cascalhal,Penamacor,"Castelo
Branco",Associação,2012,509408540
Centro de Dia do Peral,Cruzamento do Peral,Proença-a-Nova,"Castelo
Branco",Associação,1994,502849754
Centro Social Cultural e Recreativo da Freguesia dos Montes da Senhora,Montes da Senhora,Proença-a-Nova,"Castelo
Branco",Associação,1997,500996385
Santa Casa da Misericórdia de Proença-A-Nova,Proença -a - Nova,Proença-a-Nova,"Castelo
Branco",Misericórdia,1982,500848530
Santa Casa da Misericórdia de Sobreira Formosa,Sobreira Formosa,Proença-a-Nova,"Castelo
Branco",Misericórdia,1983,501962743
"Centro Social, Cultural e Desportivo Alvitense",Largo Principal de Alvito Beira,Proença-a-Nova,"Castelo
Branco",Associação,2008,500925070
Fundação Joaquim Lourenço,"Carregais, Freg.de Monte da
Senhora,Proença-a-Nova",Proença-a-Nova,"Castelo
Branco",Fundação,2008,501138765
Centro de Apoio à Terceira Idade de Santa Ana,Freguesia da Cumeada,Sertã,"Castelo
Branco",Associação,1996,503834688
Centro de Assistência Social da Freguesia do Cabeçudo,Cabeçudo,Sertã,"Castelo
Branco",Associação,1996,503676195
Centro de Assistência Social da Freguesia de Troviscal,Largo da Junta de Freguesia,Sertã,"Castelo
Branco",Associação,1996,503671843
Centro Social São Nuno de Santa Maria,"Rua dos Pinheiros, 42",Sertã,"Castelo
Branco",Associação,1983,500867844
Centro Social Cultural e Desportivo do Marmeleiro,Rua Manuel Lourenço,Sertã,"Castelo
Branco",Associação,1997,502000732
Centro Social e de Bem Estar da Freguesia de Várzea dos Cavaleiros,Rua Principal,Sertã,"Castelo
Branco",Associação,1998,503597619
Centro Social Nossa Senhora da Assunção - Castelo,Localidade e Freguesia do Castelo,Sertã,"Castelo
Branco",Associação,1997,503627887
Centro Social Nossa Senhora da Confiança de Pedrógão Pequeno,Quinta da Rocha,Sertã,"Castelo
Branco",Associação,1996,503779750
Santa Casa da Misericórdia da Sertã,Sertã,Sertã,"Castelo
Branco",Misericórdia,1982,501422595
Associação Cultural e Social da Freguesia de Figueiredo,Rua da Quelha - Figueiredo,Sertã,"Castelo
Branco",Associação,1999,503791806
Centro de Dia Família Dias Cardoso,Freguesia da Fundada,Vila de Rei,"Castelo
Branco",Associação,1993,503050210
Santa Casa da Misericórdia de Vila de Rei,Bairro de Santo António,Vila de Rei,"Castelo
Branco",Misericórdia,1983,501885196
"Casa de Infância, Juventude e Terceira Idade de Vila de Rei","Rua Manuel Lucas Martins, n.º 47 -
Milreu",Vila de Rei,"Castelo
Branco",Associação,2005,503731919
Centro de Acolhimento de S. João do Peso,"Sesmarias, Concelho de Vila do Rei",Vila de Rei,"Castelo
Branco",Associação,2005,506989267
Fundação João e Fernanda Garcia,"Av. Engº Adelino Amaro da Costa,
lote A",Vila de Rei,"Castelo
Branco",Fundação,2011,509755291
Grupo dos Amigos de Foz do Cobrão - G.A.F.O.Z.,Foz do Cobrão,"Vila Velha de
Rodão","Castelo
Branco",Associação,1994,501609741
Santa Casa da Misericórdia de Vila Velha de Rodão,Vila de Vila Velha de Rodão,"Vila Velha de
Rodão","Castelo
Branco",Misericórdia,1985,501656227
Sociedade Filarmónica de Educação e Beneficência Fratelense,"Rua Filipe Correia de Araújo Júnior-
Fratel","Vila Velha de
Rodão","Castelo
Branco",Associação,1989,501196854
Assistência Folquense,Rua José Simões Gouveia - Folques,Arganil,Coimbra,Associação,1983,500850763
Associação Humanitária e Social da Casa do Povo do Barril de Alva,Rua Joaquim Silvestre,Arganil,Coimbra,Associação,1996,503178357
Casa do Povo de Cerdeira e Moura da Serra,Cerdeira,Arganil,Coimbra,Associação,1994,503316610
Centro Social Paroquial de Benfeita,Freguesia de Benfeita,Arganil,Coimbra,"Centro Social
Paroquial",1988,501884360
Centro Social Paroquial de Coja,Coja,Arganil,Coimbra,"Centro Social
Paroquial",1984,501616810
Centro Social Paroquial de Sarzedo,Sarzedo,Arganil,Coimbra,"Centro Social
Paroquial",1984,501535837
Fundação Fausto Dias,Povoação dos Pardieiros,Arganil,Coimbra,Fundação,1994,502901292
Santa Casa da Misericórdia de Arganil,Arganil,Arganil,Coimbra,Misericórdia,1982,501157654
Santa Casa da Misericórdia de Vila Cova de Alva,Freguesia de Vila Cova de Alva,Arganil,Coimbra,Misericórdia,1985,502366150
Centro Social da Freguesia de Cepos,Cepos,Arganil,Coimbra,Associação,1999,504965743
Centro Sócio Cultural de Anseriz,Lugar e Freguesia de Anseriz,Arganil,Coimbra,Associação,1999,502888946
ACAP - Associação Cívica dos Amigos da Pocariça,"Largo Padre Manuel António
Marques, n.º 6",Cantanhede,Coimbra,Associação,1997,503393916
Associação de Desenvolvimento Progresso e Vida da Tocha,"Rua do Proventório, n.º 999 -
Pereirões",Cantanhede,Coimbra,Associação,1995,503547476
Associação do Grupo Musical de Franciscas,Franciscas,Cantanhede,Coimbra,Associação,1994,501391215
Associação Sócio- Cultural Pró-Lemede,Lugar de Lemede,Cantanhede,Coimbra,Associação,1997,501400427
Centro Paroquial de Solidariedade Social de Ançã,Ancã,Cantanhede,Coimbra,"Centro Social
Paroquial",1982,501229884
Centro Paroquial de Solidariedade Social de Febres,Freguesia de Febres,Cantanhede,Coimbra,"Centro Social
Paroquial",1984,501382615
Centro Social Caritativo da Freguesia de Bolho,Lugar e Freguesia de Bolho,Cantanhede,Coimbra,Associação,1997,502919310
Centro Social Comunitário de Varziela,Varziela,Cantanhede,Coimbra,Associação,1992,502687274
Centro Social Paroquial de Cadima,Cadima,Cantanhede,Coimbra,"Centro Social
Paroquial",1988,501985115
Centro Social Paroquial de Cordinhã,"Rua da Igreja, n.º 1",Cantanhede,Coimbra,"Centro Social
Paroquial",1993,503146501
Centro Social Paroquial de São Caetano,"Freguesia de S. Caetano -
Cantanhede",Cantanhede,Coimbra,"Centro Social
Paroquial",1997,504124102
Centro Social Paroquial de São Pedro de Cantanhede,Cantanhede,Cantanhede,Coimbra,"Centro Social
Paroquial",1991,502472960
Centro Social Polivalente da Freguesia de Murtede,Murtede,Cantanhede,Coimbra,Associação,1991,502741490
Comissão de Melhoramentos de Corticeiro de Cima,"Rua Nossa Senhora dos remédios,
n.º 15",Cantanhede,Coimbra,Associação,1990,501629033
Comissão de Melhoramentos de Vilamar,"Rua Alegria, n.º 18",Cantanhede,Coimbra,Associação,1989,501702288
Fundação Ferreira Freire,Portunhos,Cantanhede,Coimbra,Fundação,1985,500848653
Prodeco - Progresso e Desenvovimento de Covões,"Rua da Bica, n.º 501",Cantanhede,Coimbra,Associação,1992,503479730
"Póvoa da Lomba, Associação Social Cultural e Ecológica",Rua Dr. Manuel Frota,Cantanhede,Coimbra,Associação,1992,501719903
Santa Casa da Misericórdia de Cantanhede,Cantanhede,Cantanhede,Coimbra,Misericórdia,1986,500832978
"Associação Social, Cultural e Recreativa da Camarneira","Lugar e Freguesia União de Freg.
Covões Camarneira",Cantanhede,Coimbra,Associação,1998,504049267
C.S.P.O.-Centro Social e Polivalente de Ourentã,"Rua Frei Manuel dos Santos, n.º 37",Cantanhede,Coimbra,Associação,1999,503559970
"Os Amigos do São João de Cantanhede - Associação Solidariedade
Natureza e Ambiente","Freguesia e concelho de
Cantanhede",Cantanhede,Coimbra,Associação,2001,504914197
Fundação Pires Negrão,Cantanhede,Cantanhede,Coimbra,Fundação,2001,510160808
Centro Social Polivalente da Freguesia de Sepins,Lugar e Freguesia de Sepins,Cantanhede,Coimbra,Associação,2002,504139916
GIRA SOL - Associação de Desenvolvimento de Febres,"Praça Florindo José Frota, nº. 17",Cantanhede,Coimbra,Associação,2003,506023281
ENSIJOVEM - Associação de Solidariedade Social,"Freg. de Ançã, Rua Centro Estudos
Educativos",Cantanhede,Coimbra,Associação,2004,506027031
"Centro Cívico Polivalente ""O Emigrante"" da Camarneira","Rua Comendador Silva Parada, n.º 2",Cantanhede,Coimbra,Associação,2004,504983954
Associação de Solidariedade Social Sociedade Columbófila Cantanhedense,"Rua António José de Almeida, nº. 32 -
2º.- Apt. 31",Cantanhede,Coimbra,Associação,2007,500815780
Apoio Humano - Associação de Voluntariado,"Rua Bernardo de Albuquerque, Nº.
110 - 2º.",Coimbra,Coimbra,Associação,1995,503212210
"Associação de Solidariedade Social ""Casa do Juiz""",Quinta Senhora da Graça,Coimbra,Coimbra,Associação,1998,504168673
"Associação Sócio-Cultural, Recreio e Desporto de Pereiros","Pereiros, Freguesia de Castelo
Viegas",Coimbra,Coimbra,Associação,1998,501233580
Associação Integrar,"Rua do Teodoro, n.º 1",Coimbra,Coimbra,Associação,1997,503231037
Associação Nacional de Apoio ao Idoso - A. N. A. I.,"Rua Pedro Monteiro, n.º 68",Coimbra,Coimbra,Associação,1997,503375683
Associação das Cozinhas Económicas da Rainha Santa Isabel,"Terreiro do Mendonça, n.º 7",Coimbra,Coimbra,Associação,1985,501197362
Associação Desportiva e Cultural de Vila Verde (ADCVV),Lugar de Vila Verde - Lamarosa,Coimbra,Coimbra,Associação,1996,502658177
Associação dos Reformados Pensionistas e Idosos do Distrito de Coimbra,"Travessa da Rua Nova, Nº. 1 - 1º",Coimbra,Coimbra,Associação,1990,502052597
Banco Alimentar Contra a Fome - Coimbra,"Couraça de Lisboa, Nº.101",Coimbra,Coimbra,Associação,1997,503386057
Casa da Infância Dr. Elísio de Moura,"Rua Guilherme Moreira, 24",Coimbra,Coimbra,Associação,1981,500878641
Casa de Formação Cristã da Rainha Santa,Quinta das Varandas,Coimbra,Coimbra,Associação,1983,501056815
Fundação Sophia,"Rua da Sofia, 150",Coimbra,Coimbra,Fundação,1985,500766703
Casa dos Pobres,Coimbra,Coimbra,Coimbra,Associação,1982,501072438
CELIUM - Instituição Particular de Solidariedade Social,Freguesia e Lugar de Ceira,Coimbra,Coimbra,Associação,1996,503446858
Centro de Apoio Social de Souselas,"Rua 1º de Maio, n.º 19",Coimbra,Coimbra,Associação,1993,503018139
Centro de Assistência Paroquial de Santa Cruz,"Rua de Saragoça,n.º 101",Coimbra,Coimbra,"Centro Social
Paroquial",1983,500876592
Centro de Assistência Social de Nossa Senhora da Anunciação,"Rua do Teodoro, n.º 112",Coimbra,Coimbra,Fundação,1984,501431322
Centro de Bem Estar Infantil do Movimento de Casais de Santa Maria,Rua D. Ernesto Sena de Oliveira,Coimbra,Coimbra,Associação,1985,500846634
Centro de Bem Estar Social da Sagrada Família,Rua Padre Melo - Alto da Conchada,Coimbra,Coimbra,"Instituto de
Organização
Religiosa",1986,501549510
Centro de Bem Estar Social de Brasfemes - C.E.B.E.S,Brasfemes,Coimbra,Coimbra,Associação,1998,503867225
"Centro de Solidariedade Social ""O Pátio""",Pátio da Inquisição Nº. 30,Coimbra,Coimbra,Associação,1998,504241281
Centro de Solidariedade Social da Adémia,"Lugar da Ademia, Freguesia de
Trouxemil",Coimbra,Coimbra,Associação,1998,503189073
Centro Franciscano da Divina Providência,"Rua Bernardo de Albuquerque, Nº.
116",Coimbra,Coimbra,Associação,1986,501490639
Centro Operário Católico,"Bairro da Conchada - Freguesia de
Santa Cruz",Coimbra,Coimbra,Associação,1994,501905766
"Centro Paroquial de Solidariedade Social da Freguesia de Torres do
Mondego",Torres Mondego,Coimbra,Coimbra,"Centro Social
Paroquial",1982,501272496
Centro Paroquial de Bem-Estar Social de Almalaguês,Almalaguês,Coimbra,Coimbra,"Centro Social
Paroquial",1982,501153055
Centro Paroquial de Solidariedade Social da Freguesia de Ribeira de Frades,Ribeira de Frades,Coimbra,Coimbra,"Centro Social
Paroquial",1983,501404759
"Centro Paroquial de Solidariedade Social da Freguesia de São Martinho do
Bispo",S. Martinho do Bispo,Coimbra,Coimbra,"Centro Social
Paroquial",1983,501392084
Centro Social Cultural e Recreativo de Quimbres,"Beco do Centro Cultural, n.º 1 -
Quimbres",Coimbra,Coimbra,Associação,1992,502525479
Centro Social de Castelo de Viegas,Castelo de Viegas,Coimbra,Coimbra,Associação,1982,501219617
Centro Social de Marmeleira,Marmeleira - Freguesia de Souselas,Coimbra,Coimbra,Associação,1993,502492082
Centro Social de S. José,Igreja Paroquial de S. José,Coimbra,Coimbra,"Centro Social
Paroquial",1981,501427848
Centro Social de São João,"Pé de Cão - Freguesia de São
Martinho do Bispo",Coimbra,Coimbra,Associação,1992,502430966
Centro Social de Torres do Mondego,"Rua do Centro Social, n.º 22",Coimbra,Coimbra,Associação,1991,500849374
Centro Social Nossa Senhora da Alegria,Freguesia de Antanhol,Coimbra,Coimbra,"Centro Social
Paroquial",1989,502258799
Centro Social Nossa Senhora da Conceição,Assafarge,Coimbra,Coimbra,"Centro Social
Paroquial",1988,501994238
Centro Social Paroquial da Sé Velha,"Rua do Norte, n.º 4",Coimbra,Coimbra,"Centro Social
Paroquial",1987,501629017
Centro Social Paroquial de S. Silvestre,Freguesia de S. Silvestre,Coimbra,Coimbra,"Centro Social
Paroquial",1999,504239724
Centro Social Paroquial de São João do Campo,Freguesia de S. João do Campo,Coimbra,Coimbra,"Centro Social
Paroquial",1993,503224030
Centro Social Paroquial de Taveiro,Taveiro,Coimbra,Coimbra,"Centro Social
Paroquial",1987,501489630
Centro Social Paroquial de Trouxemil,Freguesia de Truxemil,Coimbra,Coimbra,"Centro Social
Paroquial",1991,502478926
Centro Social Polivalente da Palheira,"Rua Nova - Lugar da Palheira -
Assafarge",Coimbra,Coimbra,Associação,1991,501441174
Centro Social Polivalente de Vila Pouca do Campo,Vila Pouca o Campo - Ameal,Coimbra,Coimbra,Associação,1998,501643982
Centro Sócio Cultural de Nossa Senhora de Lurdes,"Paróquia de Nossa Senhora de
Lurdes",Coimbra,Coimbra,Associação,1990,502882638
Clube de Tempos Livres de Santa Clara,"Rua Dr. Braga Carrington Costa, n.º
244",Coimbra,Coimbra,Associação,1991,502389818
Comunidade Juvenil de São Francisco de Assis,"Quinta dos Plátanos -Lugar
Bencanta-St.Mart.Bispo",Coimbra,Coimbra,Associação,1987,501808876
Cáritas Diocesana de Coimbra,"Rua D.Francisco Almeida, Freg.Stº.
Antº. Olivais",Coimbra,Coimbra,"Instituto de
Organização
Religiosa",1981,501082174
Fundação Bissaya Barreto,Quinta dos Plátanos - Bencanta,Coimbra,Coimbra,Fundação,1984,500833443
Graça de São Filipe,São Martinho do Bispo,Coimbra,Coimbra,Associação,1980,501061290
Lar de São Martinho,Corujeira - S. Martinho do Bispo,Coimbra,Coimbra,Associação,1983,500988714
Obra de Promoção Social do Distrito de Coimbra,"Rua Padre Estevão Cabral, Nº. 84 -
5.º Esq.º",Coimbra,Coimbra,Associação,1985,500851735
Obra Social de Torre de Vilela,Freguesia de Torre de Vilela,Coimbra,Coimbra,Associação,1992,502601116
"PDO - Progresso e Desenvolvimento dos Olivais - Associação Particular de
Solidariedade Social","Rua Visconde Monte São, 24",Coimbra,Coimbra,Associação,1995,503123528
Recolhimento do Paço do Conde,Rua Adelino Veiga,Coimbra,Coimbra,Associação,1990,501154590
Santa Casa da Misericórdia de Coimbra,"Rua de Sobre Ribas,nº.49",Coimbra,Coimbra,Misericórdia,1985,500746753
SOL - EIRAS - Associação de Solidariedade e Cultural,Eiras,Coimbra,Coimbra,Associação,1999,503636223
Venerável Ordem Terceira da Penitência de S. Francisco,"Rua da Sofia, 114",Coimbra,Coimbra,Associação,1988,501064044
Associação de Solidariedade Social dos Amigos do Cidadão Doente,HUC - Bloco Hospitalar de Celas,Coimbra,Coimbra,Associação,1999,504557408
Associação Nacional de Apoio a Jovens (ANAJOVEM),"Rua Antero de Quental, n.º 7",Coimbra,Coimbra,Associação,1993,503184780
Centro Sócio-Cultural Polivalente de S. Martinho,"(Prov.) R. D. Pedro, 95 -r/c -
Fg.S.Martinho Bispo",Coimbra,Coimbra,Associação,1999,504251074
Casa do Pai - Centro de Apoio Social,"(Provisória) Calçada da Cruz dos
Morouços, n.º 65",Coimbra,Coimbra,Associação,1999,504779800
Centro Social Paroquial da Pedrulha,"Reitoria da Pedrulha, freg. de Stª.
Cruz",Coimbra,Coimbra,"Centro Social
Paroquial",1999,504496050
Associação de Defesa e Apoio da Vida Coimbra - ADAV - Coimbra,"Prª.8 de Maio,42-2º sala B, Freg Stº.
Cruz",Coimbra,Coimbra,Associação,1999,504348914
Associação Nacional de Intervenção Precoce (ANIP),"Av.ª Afonso Romão - H. Pediátrico
(Piso 0)",Coimbra,Coimbra,Associação,2000,504248383
"Mondego, Associação de Intervenção Social","Rua D.Luis Cunha, Lote 23, Cave",Coimbra,Coimbra,Associação,1999,503704458
"Centro Social, Cultural e Recreativo de Botão",Lugar e Freguesia de Botão,Coimbra,Coimbra,Associação,2000,502695722
Centro Social e Desportivo de Sant'Ana,"Vendas de Santana, freg. Vil de
Matos",Coimbra,Coimbra,Associação,2000,501983503
"APPACDM de Coimbra- Associação Portuguesa de Pais e Amigos do
Cidadão Deficiente Mental","Rua do Pinhal de Marrocos -Vivenda
Cruzinha -",Coimbra,Coimbra,Associação,2001,504646729
Associação dos Diabéticos da Zona Centro,"(Prov.)R.Pª.Melo,Fg.Stª.,Cruz -
C.Op.Católico",Coimbra,Coimbra,Associação,2001,503513547
Centro Social e Cultural - Vinte e Cinco de Abril,"Rua da Sofia, n.º 96 - 2.º",Coimbra,Coimbra,Associação,2001,501403248
Centro de Apoio Social de Pais e Amigos da Escola n.º 10 - CASPAE 10,Escola Básica do 1º. Ciclo nº. 10,Coimbra,Coimbra,Associação,2001,504900641
Apoio- Associação Portuguesa para o Apoio de Idosos Dependentes,"Estrada da Beira, nº .318, Alto de S.
João",Coimbra,Coimbra,Associação,2002,503913987
Associação Nacional dos Transplantados Hepáticos,"(Provis.) Praceta Machado de
Castro, Lote 2-6º Dtº",Coimbra,Coimbra,Associação,2002,503860409
Círculo de Amigos do Centro de Cirurgia Cardiotorácica - Coimbra,Cidade de Coimbra,Coimbra,Coimbra,Associação,2002,504395300
"APPDA-Coimbra-Associação Portuguesa para as Perturbações do
Desenvolvimento e Autismo","Rua Padre António Vieira, nº. 3",Coimbra,Coimbra,Associação,2003,505772302
"Associação Social, Cultural e Recreativa de S. Paulo de Frades","Lugar e freguesia de S. Paulo de
Frades",Coimbra,Coimbra,Associação,2004,501464158
Centro Comunitário de Desenvolvimento e Solidariedade Social de Coimbra,"Rua Padre Estevão Cabral, 84-1º.
Stª. Cruz",Coimbra,Coimbra,Associação,2004,506914976
APCC - Associação de Paralisia Cerebral de Coimbra,"Rua Garcia de Orta, Vale das Flores",Coimbra,Coimbra,Associação,2004,506662306
Fundação Beatriz Santos,"Lordemão, Freguesia de S. Paulo de
Frades",Coimbra,Coimbra,Fundação,2005,504321757
Centro Social Paroquial de Santo António,"Paróq Stº.António dos Olivais
R.Brigadeiro Correia",Coimbra,Coimbra,"Centro Social
Paroquial",2005,506399788
"A. B. C. e D. de S. Romão - Associação de Bem - Estar, Cultura e
Desenvolvimento Social",Antiga Escola Primária do Luzeiro,Coimbra,Coimbra,Associação,2005,505702231
"União das Instituições Particulares de Solidariedade Social do Distrito de
Coimbra","Rua João Machado, nº. 100",Coimbra,Coimbra,Associação,2005,506595455
Grupo Sócio-Cultural e Desportivo de S. Martinho de Árvore,S. Martinho de Árvore -,Coimbra,Coimbra,Associação,2005,502012897
Associação Social Recreativa Cultural Cigana de Coimbra,"Bairro da Rosa, Bloco V, 2ª. Cave",Coimbra,Coimbra,Associação,2006,504328050
"Sorriso, Associação dos Amigos do Ninho dos Pequenitos","Rua Augusta, Maternidade Bissaya
Barreto",Coimbra,Coimbra,Associação,2006,504857843
Fundação Padre Manuel Antunes,"Rua Dr. Fernando de Melo, n.º 9",Coimbra,Coimbra,"Instituto de
Organização
Religiosa",2006,507451686
A.F.S.D. - Associação de Famílias Solidárias com a Deficiência,"Rua Carlos Seixas, nº 9 - 5º D",Coimbra,Coimbra,Associação,2007,509730612
Centro Social São Teotónio,"Rua do Brasil, n.º 49",Coimbra,Coimbra,"Centro Social
Paroquial",2008,508138094
Associação Amigos dos Queimados,Av. Bissaya Barreto,Coimbra,Coimbra,Associação,2008,503629553
"D.T.T-Diabéticos Todo-O-Terreno Associação de Crianças e Jovens
Diabéticos do Centro",Hospital Pediátrico de Coimbra,Coimbra,Coimbra,Associação,2008,507110978
Centro Social Ameal Solidário,"Rua do Outeiro, 49 - Ameal",Coimbra,Coimbra,Associação,2009,508492548
"Centro de Apoio Social de Pais e Amigos da Escola Básica do 1º Ciclo
Quinta das Flores","Pavilhão Anexo à Escola Básica do
1º Ciclo, Quinta",Coimbra,Coimbra,Associação,2009,506531619
"HEPATURIX - Associação Nacional das Crianças e Jovens Transplantados
ou com Doenças Hepáticas","Bairro da Cruz Vale do Seixo, 6",Coimbra,Coimbra,Associação,2009,507740645
Associação de Doentes Neuromusculares da Região Centro,"Rua de Lourenço Almeida Azevedo,
18, R/C",Coimbra,Coimbra,Associação,2010,507538358
Associação TAVEIROCOMVIDA,TAVEIRO,Coimbra,Coimbra,Associação,2010,509233937
Fundação Esperança Viva,Cadima,Coimbra,Coimbra,Fundação,1982,501354050
Centro de Acolhimento João Paulo II,"Rua dos Combatentes da Grande
Guerra",Coimbra,Coimbra,Associação,2010,509119760
Associação APOJOVI,"Antiga Est de Lisboa - Ed. Rainha Stª
Bloco C",Coimbra,Coimbra,Associação,2010,505268043
Associação Existências,"Avenida Emídio Navarro, N.º 81 - 2.º
A",Coimbra,Coimbra,Associação,2010,506948137
Associação Oportunidades Iguais,"Rua Principal Amadeu Neto, Escola
22",Coimbra,Coimbra,Associação,2011,509086438
Ateneu de Coimbra,"Rua do Cabido, nº 8",Coimbra,Coimbra,Associação,2011,501104259
Casa do Pessoal dos Hopitais - Associação de Intervenção Social (CPHAIS),"Praceta Mota Pinto, Freg. de
S.António dos Olivais",Coimbra,Coimbra,Associação,2011,509336809
"Recriar Caminhos - Assoc Apoio Desenvolvimento Vocacional Formação
Inclusão Pessoas Esquizofrenia","Rua do Colégio Novo - Instituto de
Psicologia",Coimbra,Coimbra,Associação,2012,508777011
Associação de Desenvolvimento Social e Cultural dos Cinco Lugares,Vilarinho - Lousã,Coimbra,Coimbra,Associação,2013,505928680
"Saúde em Português -Associação de Profissionais de Cuidados de Saúde
dos Países de Língua Portuguesa","Avª. Elísio Moura, 417 - 1º E,",Coimbra,Coimbra,Associação,2014,503224049
Associação Dignitude,"Rua Venâncio Rodrigues, 12",Coimbra,Coimbra,Associação,2016,513696628
Fundação CCD Segurança Social Coimbra,"Rua Padre Estêvão Cabral, 84 - 1.º",Coimbra,Coimbra,Fundação,2017,514272902
Associação Sócio-Cultural de São Bento - Casais do Campo,"Rua Dr. Luis Freitas Morna -
Pavilhão Verde",Coimbra,Coimbra,Associação,2017,507851315
Associação Veteranus Care,"Rua Antero de Quental, n.º 263 -
Piso3 - Lj 304",Coimbra,Coimbra,Associação,2017,513310789
Associação Jardim Milsorrisos,"Largo da Capela, n.º 13-
Carapinheira da Serra",Coimbra,Coimbra,Associação,2017,513302689
Centro Social Polivalente de Ega,"Ega - Concelho Condeixa-a-Nova -
Distrito Coimbra","Condeixa-a-
Nova",Coimbra,Associação,1989,501266992
Santa Casa da Misericórdia de Condeixa a Nova,Condeixa-a-nova,"Condeixa-a-
Nova",Coimbra,Misericórdia,1985,500851530
"APPACDM de Condeixa-a-Nova - Associação Portuguesa de Pais e Amigos
do Cidadão Deficiente Mental",Bairro do Ciclo,"Condeixa-a-
Nova",Coimbra,Associação,2001,504646737
Associação Goltz de Carvalho-Associação Sócio-Cultural,Rua Professora Salvadora,Figueira da Foz,Coimbra,Associação,1999,504023691
Associação de Desenvolvimento da Figueira da Foz,"Rua de Coimbra, n.º 15-17 R/C",Figueira da Foz,Coimbra,Associação,1993,502910364
Associação para o Desenvolvimento Social e Cultural de Santana,Santana,Figueira da Foz,Coimbra,Associação,1991,502455268
Casa de Nossa Senhora do Rosário,"Rua José Silva Ribeiro, 39 -
Tavarede",Figueira da Foz,Coimbra,"Instituto de
Organização
Religiosa",1983,500878927
Casa do Povo de Marinha das Ondas,Marinha das Ondas,Figueira da Foz,Coimbra,Associação,1998,500987424
Casa do Povo de Quiaios,Freguesia de Quiaios,Figueira da Foz,Coimbra,Associação,1995,501071113
Centro de Solidariedade Social do Paião,Paião,Figueira da Foz,Coimbra,Associação,1985,501665960
Centro Paroquial de Solidariedade Social da Freguesia de Alqueidão,"Rua Padre João Anrtunes de
Carvalho, n.º 3",Figueira da Foz,Coimbra,"Centro Social
Paroquial",1981,501217479
Centro Paroquial de Solidariedade Social da Freguesia de Buarcos,Buarcos,Figueira da Foz,Coimbra,"Centro Social
Paroquial",1982,501417508
Centro Social da Cova e Gala,"Rua do Hospital, n.º 20",Figueira da Foz,Coimbra,Associação,1984,501405410
Centro Social de Santo Amaro da Boiça,"Lugar de Stº. Amaro da Boiça - Freg.
de Maiorca",Figueira da Foz,Coimbra,Associação,1992,505978652
Centro Social S. Salvador,"Rua do Portão Verde, n.º 5, Quinta
da Cordeira",Figueira da Foz,Coimbra,Associação,1991,502513365
"Centro Social Paroquial ""Áqua Viva"" de Alhadas",Freguesia de Alhadas,Figueira da Foz,Coimbra,"Centro Social
Paroquial",1990,502649470
Centro Social Paroquial de Ferreira-a-Nova,Freguesia de Ferreira-a-Nova,Figueira da Foz,Coimbra,"Centro Social
Paroquial",1998,504120409
Centro Social Paroquial de Lavos,Lavos - Figueira da Foz - Coimbra,Figueira da Foz,Coimbra,"Centro Social
Paroquial",1991,502640642
Centro Social Paroquial de Paião,Paiao,Figueira da Foz,Coimbra,"Centro Social
Paroquial",1985,501566180
Centro Social Paroquial S. Martinho de Tavarede,Tavarede,Figueira da Foz,Coimbra,"Centro Social
Paroquial",1997,503730548
Centro Social Vela Azul,"Rua Centro Social Vela Azul, n.º 2",Figueira da Foz,Coimbra,Associação,1991,502780312
Conselho de Moradores da Borda do Campo,"Lugar de Calvino - Freg. da Borda do
Campo",Figueira da Foz,Coimbra,Associação,1993,500925860
Santa Casa da Misericórdia - Obra da Figueira,Figueira da Foz,Figueira da Foz,Coimbra,Misericórdia,1986,500876169
Santa Casa da Misericórdia de Buarcos,Buarcos,Figueira da Foz,Coimbra,Misericórdia,1989,501162143
Associação de Solidariedade Social Viver em Alegria,"Rua José da Silva Ribeiro, 54 - Alto
Forno-",Figueira da Foz,Coimbra,Associação,2001,504453181
Centro Social Paroquial de Santo Aleixo de Vila Verde,Freguesia de Vila Verde,Figueira da Foz,Coimbra,"Centro Social
Paroquial",2002,505508397
