nome,objeto_da_organizacao,nif,morada,telefone,email,site,logotipo
CIDAC - Centro de Intervenção para o Desenvolvimento Amílcar Cabral,promover a solidariedade entre os povos como parte integrante de uma Direitos Humanos ativa num contexto de progressivas interdependências mundiais.,501147942,"R. Tomás Ribeiro, 3-9 , 2º Esq , 1050-225 , Lisboa",213172860,cidac@cidac.pt,http://www.cidac.pt,https://ong.pt/dir/images/sobipro/entries/334/img_cidac.gif
Cáritas Portuguesa,Desenvolvimento humano e a defesa do bem comum.,500291756,"Praça Pasteur, n.º 11 , 2º esq , 1000-238 , Lisboa",218454220,caritas@caritas.pt,http://www.caritas.pt,https://ong.pt/dir/images/sobipro/entries/332/img_caritas.jpg
Cáritas Portuguesa,Desenvolvimento humano e a defesa do bem comum.,500291756,"Praça Pasteur, n.º 11 , 2º esq , 1000-238 , Lisboa",218454220,caritas@caritas.pt,http://www.caritas.pt,https://ong.pt/dir/images/sobipro/entries/332/img_caritas.jpg
ATLAS - Associação de Cooperação para o Desenvolvimento,"Criar, junto das comunidades locais, alavancas de Desenvolvimento Humano Integrado e Sustentável.",508425913,"Rua General Humberto Delgado, n.º 139-A , 2.º esq , 3030-327 , Coimbra",239781332,info@atlaspeople.net,http://www.atlaspeople.net,https://ong.pt/dir/images/sobipro/entries/330/img_atlas.jpg
ATA - Associação Tropical Agrária,Contribuir para o desenvolvimento integrado e sustentado dos países em vias de desenvolvimento.,506748499,"Rua Gregório Lopes, Lote 1515 , 6º Dto , 1400-195 , Lisboa",213565787,atagraria@gmail.com,http://www.atagraria.wordpress.com,https://ong.pt/dir/images/sobipro/entries/329/img_ata.jpg
Associação PAR – Respostas Sociais,Contribuir para o desenvolvimento das potencialidades da pessoa e promover a sua autonomia.,503397130,"TecLabs – Centro de Inovação do Campus da Fac. de Ciências , Univ. Lisboa , Campo Grande , 1749-016 , Lisboa",217500493,info@par.org.pt,http://www.par.org.pt,https://ong.pt/dir/images/sobipro/entries/328/img_par.png
APDES - Agência Piaget para o Desenvolvimento,Promover o desenvolvimento integrado.,510414923,"Alameda Jean Piaget nº 100 Apartado 1523 , 4411-801 , Arcozelo - V. N. Gaia",227531106/7,info@apdes.pt,http://www.apdes.pt,https://ong.pt/dir/images/sobipro/entries/326/img_apdes.jpg
AJAP – Associação de Jovens Agricultores de Portugal,Consciencializar os empresários agrícolas para a importância do movimento associativo e representar os Jovens Agricultores Portugueses.,501396934,"Rua D. Pedro V, 108 – 2º Andar 1269-128 Lisboa",213244970,ajap@ajap.pt,http://www.ajap.pt,https://ong.pt/dir/images/sobipro/entries/324/img_ajap.jpg
ADRA Portugal – Associação Adventista para o Desenvolvimento Recursos e Assistência,"Promove o direito a uma vida digna e facilita oportunidades sociais, morais e intelectuais aos indivíduos com quem interage.",504534181,"Rua Ilha Terceira, nº3 – 3º 1000-171 Lisboa",213580535,info@adra.org.pt,http://www.adra.org.pt,https://ong.pt/dir/images/sobipro/entries/323/img_adra.jpg
AD GENTES – Associação Leigos Missionários da Consolata,Envio de voluntários para países em vias de desenvolvimento e realização de atividades sociais e de educação para o desenvolvimento.,508313554,Av. Cidade de Lisboa - Quinta do Castelo Cacém  2735 - 206 Cacém,214260510,geral@adgentes.org.pt,http://www.adgentes.org.pt,https://ong.pt/dir/images/sobipro/entries/322/img_ad agentes.jpg
APAV- Apoio à vitivima,"Apoia, de forma individualizada, qualificada e humanizada, vítimas de crimes.",502547952,"Rua José Estêvão, 135 A, Pisos 1/2 1150-201 Lisboa",213587900,apav.sede@apav.pt,http://www.apav.pt,https://ong.pt/dir/images/sobipro/entries/321/img_apav.jpg
APAV- Apoio à vitivima,"Apoia, de forma individualizada, qualificada e humanizada, vítimas de crimes.",502547952,"Rua José Estêvão, 135 A, Pisos 1/2 1150-201 Lisboa",213587900,apav.sede@apav.pt,http://www.apav.pt,https://ong.pt/dir/images/sobipro/entries/321/img_apav.jpg
ISU – Instituto de Solidariedade e Cooperação Universitária,Promover processos participativos para o desenvolvimento de pessoas e comunidades.,502690453,"Rua Maria Alice, nº 9 1750-360 Lisboa",213957831,geral@isu.pt,http://www.isu.pt,https://ong.pt/dir/images/sobipro/entries/320/img_isu.jpg
HELPO,"programas de apoio continuados, projectos de assistência, ajuda humanitária, desenvolvimento comunitário, educação para o desenvolvimento humano.",507136845,"Rua Catarina Eufémia, Fontaínhas,  2750-318 Cascais",211537687,recrutamento@helpo.pt / sofianobre@helpo.pt,http://www.helpo.pt,https://ong.pt/dir/images/sobipro/entries/318/img_helpo.jpg
